release_cutoff_s,sample_index,source_step_index,source_timestamp_s,reported_timestamp_s,arrival_timestamp_s,arrival_minus_source_s,reported_minus_source_s,released_before_arrival,missing,quality_flags,value
0.73,70,70,0.7000000000000001,0.7129317351334674,0.7250000000000001,0.025000000000000022,0.012931735133467348,False,False,TIMESTAMP_JITTERED|DELAYED,300070.28783786594
0.74,71,71,0.71,0.6726924595917803,0.735,0.025000000000000022,-0.03730754040821971,False,False,TIMESTAMP_JITTERED|DELAYED,300073.2298478565
0.75,72,72,0.72,0.7482597152919337,0.745,0.025000000000000022,0.028259715291933718,False,False,TIMESTAMP_JITTERED|DELAYED,300071.4187437121
0.76,73,73,0.73,0.7493733680513252,0.755,0.025000000000000022,0.019373368051325168,False,False,TIMESTAMP_JITTERED|DELAYED,300074.22071834217
0.77,74,74,0.74,0.7654498596933971,0.765,0.025000000000000022,0.02544985969339708,False,False,TIMESTAMP_JITTERED|DELAYED,300071.8476434823
0.78,75,75,0.75,0.7551352943612338,0.775,0.025000000000000022,0.005135294361233833,False,False,TIMESTAMP_JITTERED|DELAYED,300073.6167957977
0.79,76,76,0.76,0.7344280897321978,0.785,0.025000000000000022,-0.025571910267802256,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.8,77,77,0.77,0.7548684895007476,0.795,0.025000000000000022,-0.015131510499252432,False,False,TIMESTAMP_JITTERED|DELAYED,300076.19534516113
0.81,78,78,0.78,0.8253848706495561,0.805,0.025000000000000022,0.0453848706495561,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.8200000000000001,79,79,0.79,0.7973490289100198,0.8150000000000001,0.025000000000000022,0.0073490289100197614,False,False,TIMESTAMP_JITTERED|DELAYED,300079.772457884
0.8300000000000001,80,80,0.8,0.786591186428401,0.8250000000000001,0.025000000000000022,-0.013408813571599065,False,False,TIMESTAMP_JITTERED|DELAYED,300082.2166029788
0.84,81,81,0.81,0.8368268499196858,0.8350000000000001,0.025000000000000022,0.026826849919685758,False,False,TIMESTAMP_JITTERED|DELAYED,300080.29292416683
0.85,82,82,0.8200000000000001,0.8432708865338608,0.8450000000000001,0.025000000000000022,0.02327088653386078,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.86,83,83,0.8300000000000001,0.8258158268568786,0.8550000000000001,0.025000000000000022,-0.004184173143121472,False,False,TIMESTAMP_JITTERED|DELAYED,300082.0652204111
0.87,84,84,0.84,0.8388390238719943,0.865,0.025000000000000022,-0.0011609761280056974,False,False,TIMESTAMP_JITTERED|DELAYED,300083.16759034316
0.88,85,85,0.85,0.8336218195251743,0.875,0.025000000000000022,-0.016378180474825643,False,False,TIMESTAMP_JITTERED|DELAYED,300083.7273962273
0.89,86,86,0.86,0.8352649686488146,0.885,0.025000000000000022,-0.024735031351185377,False,False,TIMESTAMP_JITTERED|DELAYED,300086.4704619547
0.9,87,87,0.87,0.8834959683071976,0.895,0.025000000000000022,0.01349596830719757,False,False,TIMESTAMP_JITTERED|DELAYED,300083.8650478581
0.91,88,88,0.88,0.8812600240061816,0.905,0.025000000000000022,0.001260024006181637,False,False,TIMESTAMP_JITTERED|DELAYED,300085.76521070435
0.92,89,89,0.89,0.8929496148873485,0.915,0.025000000000000022,0.0029496148873484618,False,True,TIMESTAMP_JITTERED|DELAYED|MISSING|DROPPED,
0.93,90,90,0.9,0.8842424212492239,0.925,0.025000000000000022,-0.015757578750776102,False,False,TIMESTAMP_JITTERED|DELAYED,300091.6418813424
0.9400000000000001,91,91,0.91,0.896205281157722,0.935,0.025000000000000022,-0.013794718842278009,False,False,TIMESTAMP_JITTERED|DELAYED,300089.8289068552
0.9500000000000001,92,92,0.92,0.9371013742295028,0.9450000000000001,0.025000000000000022,0.017101374229502753,False,False,TIMESTAMP_JITTERED|DELAYED,300092.9448195073
0.96,93,93,0.93,0.9345076143091173,0.9550000000000001,0.025000000000000022,0.0045076143091172804,False,False,TIMESTAMP_JITTERED|DELAYED,300092.29346725735
0.97,94,94,0.9400000000000001,0.9411247787348023,0.9650000000000001,0.025000000000000022,0.001124778734802212,False,False,TIMESTAMP_JITTERED|DELAYED,300093.2809379208
0.98,95,95,0.9500000000000001,0.9535979675343513,0.9750000000000001,0.025000000000000022,0.003597967534351265,False,False,TIMESTAMP_JITTERED|DELAYED,300095.1279107695
0.99,96,96,0.96,0.9635532260776059,0.985,0.025000000000000022,0.0035532260776058866,False,False,TIMESTAMP_JITTERED|DELAYED,300097.0214138652
1.0,97,97,0.97,0.9386376390637577,0.995,0.025000000000000022,-0.03136236093624223,False,False,TIMESTAMP_JITTERED|DELAYED,300092.59313511336
1.025,98,98,0.98,0.9706295006751307,1.005,0.02499999999999991,-0.00937049932486933,False,False,TIMESTAMP_JITTERED|DELAYED,300099.7705712703
1.025,99,99,0.99,0.9612392839613082,1.015,0.02499999999999991,-0.02876071603869179,False,False,TIMESTAMP_JITTERED|DELAYED,300095.6667324303
1.025,100,100,1.0,0.9921481088735135,1.025,0.02499999999999991,-0.007851891126486543,False,False,TIMESTAMP_JITTERED|DELAYED,300099.9323749878
