step_index,timestamp_s,mode,contact_pressure_pa,platen_angular_speed_rad_s,head_angular_speed_rad_s,relative_velocity_m_s,slurry_availability,interface_temperature_k,pressure_velocity_exposure,pad_surface_activity,pad_remaining_life,dresser_effectiveness,instantaneous_mrr_m_s,cumulative_removal_m,active_polish_time_s,stage_average_mrr_m_s,thermal_energy_residual_w
88,0.88,PREPARE,29634.00832387781,7.980447436272441,5.986151982835608,1.6031081392225923,0.8922527532595453,293.15,0.9853824858434121,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
89,0.89,PREPARE,29652.30790768392,7.9817509405209455,5.987075183979901,1.6033703710893743,0.8949464344280567,293.15,0.986152264534427,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
90,0.9,PREPARE,29669.692512299724,7.982967544486216,5.98793683838124,1.6036151208412495,0.8975727735673552,293.15,0.9868810490171237,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
91,0.91,PREPARE,29686.207886684737,7.984103041520468,5.988741049155824,1.60384355395131,0.9001334542281714,293.15,0.9875710460174948,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
92,0.92,PREPARE,29701.8974923505,7.985162838752437,5.989491645878769,1.6040567581946044,0.902630117872467,293.15,0.9882243425911703,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
93,0.93,PREPARE,29716.802617732978,7.986151982835608,5.990192202820185,1.60425574882798,0.9050643649256553,293.15,0.988842912600727,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
94,0.9400000000000001,PREPARE,29730.96248684633,7.987075183979901,5.990846055965506,1.6044414734246182,0.907437755802514,293.15,0.9894286228507739,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
95,0.9500000000000001,PREPARE,29744.414362504012,7.98793683838124,5.99145631890114,1.604614816386259,0.9097518119074511,293.15,0.9899832388974975,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
96,0.96,PREPARE,29757.19364437881,7.988741049155824,5.992025897641064,1.604776603154618,0.9120080166097648,293.15,0.9905084305487359,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
97,0.97,PREPARE,29769.33396215987,7.989491645878769,5.992557504464993,1.6049276041420435,0.9142078161945207,293.15,0.9910057770700222,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
98,0.98,PREPARE,29780.867264051878,7.990192202820185,5.993053670833993,1.6050685384001304,0.9163526207896577,293.15,0.9914767721114153,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
99,0.99,PREPARE,29791.823900849286,7.990846055965506,5.99351675944506,1.605200077043759,0.9184438052699163,293.15,0.9919228283693248,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
100,1.0,PREPARE,29802.232705806822,7.99145631890114,5.9939489754820565,1.6053228464468734,0.9204827101381684,293.15,0.9923452819969139,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
101,1.01,POLISH,29812.12107051648,7.992025897641064,5.994352377116586,1.6054374312251973,0.9224706423847142,293.15027065037833,0.9927453967760745,0.9999980145092064,0.9999999007254603,1.0,1.5262950866687003e-09,1.5262950866687002e-11,0.01,1.5262950866687001e-09,3.243968649258022e-09
102,1.02,POLISH,29821.515016990656,7.992557504464993,5.994728885308814,1.6055443770201157,0.9244088763250964,293.15054127579947,0.9931243680633828,0.999996028264414,0.9999998014130235,1.0,1.5300835161671816e-09,3.056378602835882e-11,0.02,1.5281893014179409e-09,7.410960733977845e-09
103,1.03,POLISH,29830.439266141122,7.993053670833993,5.995080292954893,1.6056441930969536,0.926298654416969,293.1508118707373,0.993483326521856,0.9999940413056527,0.9999997020646908,1.0,1.533763250398304e-09,4.590141853234186e-11,0.03,1.5300472844113956e-09,-1.3224905615061289e-09
104,1.04,POLISH,29838.917302834067,7.99351675944506,5.995408273424567,1.6057373547700464,0.9281411880565448,293.1510824299631,0.9938233416498004,0.9999920536708132,0.9999996026823567,1.0,1.5373376747534589e-09,6.127479527987645e-11,0.04,1.5318698819969113e-09,1.30097248529637e-08
105,1.05,POLISH,29846.971437692362,7.9939489754820565,5.995714388529596,1.6058243056661323,0.9299376583551312,293.1513529485292,0.9941454251174829,0.9999900653957626,0.9999995032678142,1.0,1.5408100598773809e-09,7.668289587865026e-11,0.05,1.533657917573005e-09,-1.0671669770090375e-08
106,1.06,POLISH,29854.622865807745,7.994352377116586,5.996000095960956,1.605905459836857,0.931689216896253,293.1516234217544,0.9944505339218414,0.9999880765144538,0.9999994038227608,1.0,1.5441835656984767e-09,9.212473153563503e-11,0.060000000000000005,1.5354121922605837e-09,-1.2074423239027965e-08
107,1.07,POLISH,29861.891722517357,7.994728885308814,5.996266756230225,1.6059812037304435,0.9333969864738466,293.15189384520903,0.9947395733689574,0.9999860870590286,0.9999993043488035,1.0,1.5474612453342685e-09,1.0759934398897772e-10,0.07,1.5371334855568244e-09,6.375273642333923e-09
108,1.08,POLISH,29868.79713639149,7.995080292954893,5.99651563914821,1.6060518980319165,0.9350620618120005,293.1521642147018,0.9950133998935194,0.9999840970599159,0.9999992048474635,1.0,1.5506460488730268e-09,1.2310580447770798e-10,0.08,1.5388225559713497e-09,-1.1669499144772999e-08
109,1.09,POLISH,29875.357279571916,7.995408273424567,5.996747929871663,1.6061178793806483,0.9366855102667004,293.15243452626703,0.9952728237240485,0.9999821065459239,0.9999991053201811,1.0,1.553740827033051e-09,1.386432127480385e-10,0.09,1.5404801416448723e-09,-4.327461056163884e-09
110,1.1,POLISH,29881.58941559332,7.995714388529596,5.996964734546886,1.6061794619733993,0.9382683725100329,293.15270477615223,0.9955186114022117,0.9999801155443276,0.99999900576832,1.0,1.5567483347013962e-09,1.5421069609505245e-10,0.09999999999999999,1.5421069609505247e-09,2.9322109185159206e-09
111,1.11,POLISH,29887.509944813653,7.996000095960956,5.997167085577093,1.6062369390604905,0.939811663197282,293.15297496080694,0.9957514881641172,0.9999781240809512,0.9999989061931712,1.0,1.5596712343540808e-09,1.6980740843859327e-10,0.10999999999999999,1.5437037130781208e-09,-5.161467697689659e-09
112,1.12,POLISH,29893.13444757297,7.996266756230225,5.997355946538621,1.6062905843422315,0.94131637161735,293.1532450768718,0.9959721401910897,0.9999761321802464,0.9999988065959572,1.0,1.5625120993600712e-09,1.85432529432194e-10,0.11999999999999998,1.5452710786016169e-09,-3.374026391611551e-09
113,1.1300000000000001,POLISH,29898.477725194323,7.99651563914821,5.997532216769379,1.6063406532722537,0.9427834623269163,293.1535151211684,0.9961812167370178,0.9999741398653663,0.9999987069778355,1.0,1.5652734171714917e-09,2.010852636039089e-10,0.12999999999999998,1.5468097200300688e-09,7.67093411013775e-09
114,1.1400000000000001,POLISH,29903.553838934607,7.996747929871663,5.99769673565142,1.6063873842739544,0.9442138757687434,293.15378509068944,0.9963793321390082,0.999972147158235,0.9999986073399023,1.0,1.5679575924026698e-09,2.167648395279356e-10,0.13999999999999999,1.5483202823423973e-09,8.015263119887095e-09
115,1.1500000000000001,POLISH,29908.376146987877,7.996964734546886,5.997850286607992,1.606430999875843,0.9456085288745248,293.1540549825896,0.9965670677177213,0.999970154079614,0.9999985076831955,1.0,1.5705669498007522e-09,2.3247050902594313e-10,0.15,1.5498033935062875e-09,8.513580951330368e-09
116,1.16,POLISH,29912.957339638484,7.997167085577093,5.997993600834126,1.606471707771201,0.9469683156526617,293.1543247941771,0.9967449735734195,0.9999681606491644,0.9999984080086982,1.0,1.5731037371106893e-09,2.4820154639705004e-10,0.16,1.5512596649815627e-09,1.686203177087009e-09
117,1.17,POLISH,29917.30947265656,7.997355946538621,5.9981273607785175,1.6065097018070977,0.9482941077613452,293.15459452290526,0.9969135702834511,0.999966166885506,0.9999983083173412,1.0,1.575570127837481e-09,2.639572476754248e-10,0.17,1.5526896922083812e-09,1.1395457022445044e-08
118,1.18,POLISH,29921.443999023733,7.997532216769379,5.998252203393283,1.6065451629074667,0.9495867550673115,293.1548641663648,0.9970733505065684,0.9999641728062731,0.9999982086100061,1.0,1.577968223908588e-09,2.797369299145107e-10,0.18000000000000002,1.5540940550806149e-09,1.327637733083975e-08
119,1.19,POLISH,29925.371799072545,7.99769673565142,5.998368723167064,1.6065782599346519,0.9508470861906287,293.1551337222766,0.9972247804992114,0.9999621784281677,0.999998108887528,1.0,1.580300058239475e-09,2.955399304969055e-10,0.19000000000000003,1.5554733184047653e-09,9.370410225528758e-09
120,1.2,POLISH,29929.10320911892,7.997850286607992,5.998477474955926,1.6066091504935085,0.952075909035863,293.15540318848474,0.9973683015485875,0.9999601837670087,0.9999980091506979,1.0,1.5825675972052124e-09,3.113656064689576e-10,0.20000000000000004,1.5568280323447876e-09,5.77074388274923e-10
121,1.21,POLISH,29932.648048662973,7.997993600834126,5.998578976625532,1.606637981681907,0.9532740113099665,293.15567256294986,0.997504331327133,0.9999581888377798,0.9999979094002648,1.0,1.5847727430211048e-09,3.272133338991686e-10,0.21000000000000005,1.5581587328531836e-09,-1.6493117982463446e-09
122,1.22,POLISH,29936.015646229826,7.9981273607785175,5.998673711517163,1.6066648907911931,0.9544421610272174,293.15594184374305,0.9976332651726878,0.9999561936546738,0.9999978096369383,1.0,1.5869173360352597e-09,3.430825072595212e-10,0.22000000000000006,1.5594659420887323e-09,-1.0198789368587313e-08
123,1.23,POLISH,29939.214863918336,7.998252203393283,5.998762130749352,1.60669000595996,0.9555811070015369,293.15621102904,0.9977554772984758,0.9999541982311353,0.9999977098613906,1.0,1.5890031569360043e-09,3.5897253882888125e-10,0.23000000000000007,1.5607501688212225e-09,-2.2785684450354893e-09
