scenario,topology,step_index,source_time_s,timestamp_s,event_active,grid_voltage_pu,ups_output_voltage_pu,ups_mode,battery_energy_j,vfd_available_output_pu,vfd_tripped,motor_speed_rad_s,pump_flow_m3_s,pump_head_pa,pump_operating_point_residual_pa,upw_supply_pressure_pa,upw_tool_flow_m3_s,upw_temperature_k,upw_mass_balance_residual_m3_s,pressure_support,flow_support,hydraulic_support,effective_availability,dressing_availability,slurry_utility_availability,coolant_temperature_k,cooling_conductance_factor,cmp_mode,cmp_pad_surface_activity,cmp_interface_temperature_k,cmp_mrr_m_s,cmp_cumulative_removal_m
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,44,0.43,0.44,False,1.0,1.0,GRID,500.0,1.0,False,188.49999461319126,0.00020000011001353974,199999.75711107254,0.0,299999.76840335876,0.0001,293.15,-3.386399071314623e-14,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5039446964517005,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,45,0.44,0.45,False,1.0,1.0,GRID,500.0,1.0,False,188.4999948825317,0.00020000010493894405,199999.76840335876,0.0,299999.779171776,0.0001,293.15,-1.5289353984270574e-14,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.504033985620591,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,46,0.45,0.46,False,1.0,1.0,GRID,500.0,1.0,False,188.4999951384051,0.00020000010009770533,199999.77917177603,0.0,299999.789474532,0.0001,293.15,-6.946803137071487e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5041232586997179,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,47,0.46,0.47000000000000003,False,1.0,1.0,GRID,500.0,1.0,False,188.49999538148484,0.00020000009546214867,199999.789474532,0.0,299999.79925341904,0.0001,293.15,2.576984773575919e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5042125156919837,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,48,0.47000000000000003,0.48,False,1.0,1.0,GRID,500.0,1.0,False,188.4999956124106,0.00020000009106273535,199999.799253419,-2.9103830456733704e-11,299999.8085666448,0.0001,293.15,5.148980308962333e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5043017566002905,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,49,0.48,0.49,False,1.0,1.0,GRID,500.0,1.0,False,188.49999583179007,0.00020000008687165102,199999.8085666448,0.0,299999.8174724169,0.0001,293.15,2.0000172308226267e-14,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5043909814275399,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,50,0.49,0.5,False,1.0,1.0,GRID,500.0,1.0,False,188.49999604020056,0.00020000008286101702,199999.81747241694,2.9103830456733704e-11,299999.8259707354,0.0001,293.15,-9.072055335689336e-14,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5044801901766328,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,51,0.5,0.51,False,1.0,1.0,GRID,500.0,1.0,False,188.49999623819053,0.00020000007903199724,199999.82597073537,-2.9103830456733704e-11,299999.83406160027,0.0001,293.15,1.8389975848553892e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5045693828504697,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,52,0.51,0.52,False,1.0,1.0,GRID,500.0,1.0,False,188.499996426281,0.00020000007538569712,199999.83406160027,0.0,299999.8417450115,0.0001,293.15,8.44966560370641e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5046585594519506,293.15,0.0,0.0
degraded_ups_3s_interruption_during_dress,NO_CONNECTION,53,0.52,0.53,False,1.0,1.0,GRID,500.0,1.0,False,188.49999660496695,0.00020000007192316722,199999.84174501145,-5.820766091346741e-11,299999.8490791768,0.0001,293.15,7.002733229443173e-13,1.0,1.0,1.0,1.0,1.0,1.0,293.15,1.0,DRESS,0.5047477199839748,293.15,0.0,0.0
